-- Dummy data: 300 products
-- Run after subscription_management.sql. created_by = NULL (no user required).

SET FOREIGN_KEY_CHECKS=0;
INSERT INTO products (product_name, product_type, sales_price, cost_price, description, image_urls, short_description, terms_and_conditions, is_recurring, status, created_by) VALUES
  ('Backup Plus 166', 'License', 213.49, 80.72, 'Full description for dummy product 166 (License).', NULL, 'Short desc for product 166', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 167', 'Support', 217.99, 83.30, 'Full description for dummy product 167 (Support).', NULL, 'Short desc for product 167', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 168', 'SaaS', 197.99, 77.30, 'Full description for dummy product 168 (SaaS).', NULL, 'Short desc for product 168', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 169', 'Hardware', 202.49, 79.87, 'Full description for dummy product 169 (Hardware).', NULL, 'Short desc for product 169', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 170', 'Service', 206.99, 72.45, 'Full description for dummy product 170 (Service).', NULL, 'Short desc for product 170', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 171', 'Add-on', 211.49, 75.02, 'Full description for dummy product 171 (Add-on).', NULL, 'Short desc for product 171', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 172', 'License', 215.99, 77.60, 'Full description for dummy product 172 (License).', NULL, 'Short desc for product 172', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 173', 'Support', 220.49, 80.17, 'Full description for dummy product 173 (Support).', NULL, 'Short desc for product 173', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 174', 'SaaS', 224.99, 82.75, 'Full description for dummy product 174 (SaaS).', NULL, 'Short desc for product 174', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 175', 'Hardware', 204.99, 76.75, 'Full description for dummy product 175 (Hardware).', NULL, 'Short desc for product 175', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 176', 'Service', 209.49, 79.32, 'Full description for dummy product 176 (Service).', NULL, 'Short desc for product 176', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 177', 'Add-on', 213.99, 81.90, 'Full description for dummy product 177 (Add-on).', NULL, 'Short desc for product 177', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 178', 'License', 218.49, 84.47, 'Full description for dummy product 178 (License).', NULL, 'Short desc for product 178', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 179', 'Support', 222.99, 87.05, 'Full description for dummy product 179 (Support).', NULL, 'Short desc for product 179', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 180', 'SaaS', 227.49, 79.62, 'Full description for dummy product 180 (SaaS).', NULL, 'Short desc for product 180', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 181', 'Hardware', 231.99, 82.20, 'Full description for dummy product 181 (Hardware).', NULL, 'Short desc for product 181', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 182', 'Service', 211.99, 76.20, 'Full description for dummy product 182 (Service).', NULL, 'Short desc for product 182', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 183', 'Add-on', 216.49, 78.77, 'Full description for dummy product 183 (Add-on).', NULL, 'Short desc for product 183', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 184', 'License', 220.99, 81.35, 'Full description for dummy product 184 (License).', NULL, 'Short desc for product 184', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 185', 'Support', 225.49, 83.92, 'Full description for dummy product 185 (Support).', NULL, 'Short desc for product 185', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 186', 'SaaS', 229.99, 86.50, 'Full description for dummy product 186 (SaaS).', NULL, 'Short desc for product 186', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 187', 'Hardware', 234.49, 89.07, 'Full description for dummy product 187 (Hardware).', NULL, 'Short desc for product 187', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 188', 'Service', 238.99, 91.65, 'Full description for dummy product 188 (Service).', NULL, 'Short desc for product 188', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 189', 'Add-on', 218.99, 85.65, 'Full description for dummy product 189 (Add-on).', NULL, 'Short desc for product 189', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 190', 'License', 223.49, 78.22, 'Full description for dummy product 190 (License).', NULL, 'Short desc for product 190', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 191', 'Support', 227.99, 80.80, 'Full description for dummy product 191 (Support).', NULL, 'Short desc for product 191', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 192', 'SaaS', 232.49, 83.37, 'Full description for dummy product 192 (SaaS).', NULL, 'Short desc for product 192', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 193', 'Hardware', 236.99, 85.95, 'Full description for dummy product 193 (Hardware).', NULL, 'Short desc for product 193', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 194', 'Service', 241.49, 88.52, 'Full description for dummy product 194 (Service).', NULL, 'Short desc for product 194', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 195', 'Add-on', 245.99, 91.10, 'Full description for dummy product 195 (Add-on).', NULL, 'Short desc for product 195', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 196', 'License', 225.99, 85.10, 'Full description for dummy product 196 (License).', NULL, 'Short desc for product 196', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 197', 'Support', 230.49, 87.67, 'Full description for dummy product 197 (Support).', NULL, 'Short desc for product 197', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 198', 'SaaS', 234.99, 90.25, 'Full description for dummy product 198 (SaaS).', NULL, 'Short desc for product 198', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 199', 'Hardware', 239.49, 92.82, 'Full description for dummy product 199 (Hardware).', NULL, 'Short desc for product 199', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 200', 'Service', 43.99, 15.40, 'Full description for dummy product 200 (Service).', NULL, 'Short desc for product 200', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 201', 'Add-on', 48.49, 17.97, 'Full description for dummy product 201 (Add-on).', NULL, 'Short desc for product 201', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 202', 'License', 52.99, 20.55, 'Full description for dummy product 202 (License).', NULL, 'Short desc for product 202', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 203', 'Support', 32.99, 14.55, 'Full description for dummy product 203 (Support).', NULL, 'Short desc for product 203', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 204', 'SaaS', 37.49, 17.12, 'Full description for dummy product 204 (SaaS).', NULL, 'Short desc for product 204', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 205', 'Hardware', 41.99, 19.70, 'Full description for dummy product 205 (Hardware).', NULL, 'Short desc for product 205', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 206', 'Service', 46.49, 22.27, 'Full description for dummy product 206 (Service).', NULL, 'Short desc for product 206', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 207', 'Add-on', 50.99, 24.85, 'Full description for dummy product 207 (Add-on).', NULL, 'Short desc for product 207', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 208', 'License', 55.49, 27.42, 'Full description for dummy product 208 (License).', NULL, 'Short desc for product 208', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 209', 'Support', 59.99, 30.00, 'Full description for dummy product 209 (Support).', NULL, 'Short desc for product 209', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 210', 'SaaS', 39.99, 14.00, 'Full description for dummy product 210 (SaaS).', NULL, 'Short desc for product 210', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 211', 'Hardware', 44.49, 16.57, 'Full description for dummy product 211 (Hardware).', NULL, 'Short desc for product 211', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 212', 'Service', 48.99, 19.15, 'Full description for dummy product 212 (Service).', NULL, 'Short desc for product 212', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 213', 'Add-on', 53.49, 21.72, 'Full description for dummy product 213 (Add-on).', NULL, 'Short desc for product 213', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 214', 'License', 57.99, 24.30, 'Full description for dummy product 214 (License).', NULL, 'Short desc for product 214', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 215', 'Support', 62.49, 26.87, 'Full description for dummy product 215 (Support).', NULL, 'Short desc for product 215', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 216', 'SaaS', 66.99, 29.45, 'Full description for dummy product 216 (SaaS).', NULL, 'Short desc for product 216', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 217', 'Hardware', 46.99, 23.45, 'Full description for dummy product 217 (Hardware).', NULL, 'Short desc for product 217', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 218', 'Service', 51.49, 26.02, 'Full description for dummy product 218 (Service).', NULL, 'Short desc for product 218', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 219', 'Add-on', 55.99, 28.60, 'Full description for dummy product 219 (Add-on).', NULL, 'Short desc for product 219', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 220', 'License', 60.49, 21.17, 'Full description for dummy product 220 (License).', NULL, 'Short desc for product 220', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 221', 'Support', 64.99, 23.75, 'Full description for dummy product 221 (Support).', NULL, 'Short desc for product 221', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 222', 'SaaS', 69.49, 26.32, 'Full description for dummy product 222 (SaaS).', NULL, 'Short desc for product 222', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 223', 'Hardware', 73.99, 28.90, 'Full description for dummy product 223 (Hardware).', NULL, 'Short desc for product 223', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 224', 'Service', 53.99, 22.90, 'Full description for dummy product 224 (Service).', NULL, 'Short desc for product 224', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 225', 'Add-on', 58.49, 25.47, 'Full description for dummy product 225 (Add-on).', NULL, 'Short desc for product 225', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 226', 'License', 62.99, 28.05, 'Full description for dummy product 226 (License).', NULL, 'Short desc for product 226', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 227', 'Support', 67.49, 30.62, 'Full description for dummy product 227 (Support).', NULL, 'Short desc for product 227', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 228', 'SaaS', 71.99, 33.20, 'Full description for dummy product 228 (SaaS).', NULL, 'Short desc for product 228', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 229', 'Hardware', 76.49, 35.77, 'Full description for dummy product 229 (Hardware).', NULL, 'Short desc for product 229', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 230', 'Service', 80.99, 28.35, 'Full description for dummy product 230 (Service).', NULL, 'Short desc for product 230', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 231', 'Add-on', 60.99, 22.35, 'Full description for dummy product 231 (Add-on).', NULL, 'Short desc for product 231', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 232', 'License', 65.49, 24.92, 'Full description for dummy product 232 (License).', NULL, 'Short desc for product 232', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 233', 'Support', 69.99, 27.50, 'Full description for dummy product 233 (Support).', NULL, 'Short desc for product 233', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 234', 'SaaS', 74.49, 30.07, 'Full description for dummy product 234 (SaaS).', NULL, 'Short desc for product 234', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 235', 'Hardware', 78.99, 32.65, 'Full description for dummy product 235 (Hardware).', NULL, 'Short desc for product 235', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 236', 'Service', 83.49, 35.22, 'Full description for dummy product 236 (Service).', NULL, 'Short desc for product 236', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 237', 'Add-on', 87.99, 37.80, 'Full description for dummy product 237 (Add-on).', NULL, 'Short desc for product 237', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 238', 'License', 67.99, 31.80, 'Full description for dummy product 238 (License).', NULL, 'Short desc for product 238', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 239', 'Support', 72.49, 34.37, 'Full description for dummy product 239 (Support).', NULL, 'Short desc for product 239', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 240', 'SaaS', 76.99, 26.95, 'Full description for dummy product 240 (SaaS).', NULL, 'Short desc for product 240', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 241', 'Hardware', 81.49, 29.52, 'Full description for dummy product 241 (Hardware).', NULL, 'Short desc for product 241', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 242', 'Service', 85.99, 32.10, 'Full description for dummy product 242 (Service).', NULL, 'Short desc for product 242', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 243', 'Add-on', 90.49, 34.67, 'Full description for dummy product 243 (Add-on).', NULL, 'Short desc for product 243', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 244', 'License', 94.99, 37.25, 'Full description for dummy product 244 (License).', NULL, 'Short desc for product 244', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 245', 'Support', 74.99, 31.25, 'Full description for dummy product 245 (Support).', NULL, 'Short desc for product 245', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 246', 'SaaS', 79.49, 33.82, 'Full description for dummy product 246 (SaaS).', NULL, 'Short desc for product 246', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 247', 'Hardware', 83.99, 36.40, 'Full description for dummy product 247 (Hardware).', NULL, 'Short desc for product 247', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 248', 'Service', 88.49, 38.97, 'Full description for dummy product 248 (Service).', NULL, 'Short desc for product 248', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 249', 'Add-on', 92.99, 41.55, 'Full description for dummy product 249 (Add-on).', NULL, 'Short desc for product 249', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 250', 'License', 97.49, 34.12, 'Full description for dummy product 250 (License).', NULL, 'Short desc for product 250', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 251', 'Support', 101.99, 36.70, 'Full description for dummy product 251 (Support).', NULL, 'Short desc for product 251', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 252', 'SaaS', 81.99, 30.70, 'Full description for dummy product 252 (SaaS).', NULL, 'Short desc for product 252', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 253', 'Hardware', 86.49, 33.27, 'Full description for dummy product 253 (Hardware).', NULL, 'Short desc for product 253', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 254', 'Service', 90.99, 35.85, 'Full description for dummy product 254 (Service).', NULL, 'Short desc for product 254', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 255', 'Add-on', 95.49, 38.42, 'Full description for dummy product 255 (Add-on).', NULL, 'Short desc for product 255', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 256', 'License', 99.99, 41.00, 'Full description for dummy product 256 (License).', NULL, 'Short desc for product 256', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 257', 'Support', 104.49, 43.57, 'Full description for dummy product 257 (Support).', NULL, 'Short desc for product 257', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 258', 'SaaS', 108.99, 46.15, 'Full description for dummy product 258 (SaaS).', NULL, 'Short desc for product 258', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 259', 'Hardware', 88.99, 40.15, 'Full description for dummy product 259 (Hardware).', NULL, 'Short desc for product 259', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 260', 'Service', 93.49, 32.72, 'Full description for dummy product 260 (Service).', NULL, 'Short desc for product 260', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 261', 'Add-on', 97.99, 35.30, 'Full description for dummy product 261 (Add-on).', NULL, 'Short desc for product 261', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 262', 'License', 102.49, 37.87, 'Full description for dummy product 262 (License).', NULL, 'Short desc for product 262', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 263', 'Support', 106.99, 40.45, 'Full description for dummy product 263 (Support).', NULL, 'Short desc for product 263', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 264', 'SaaS', 111.49, 43.02, 'Full description for dummy product 264 (SaaS).', NULL, 'Short desc for product 264', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 265', 'Hardware', 115.99, 45.60, 'Full description for dummy product 265 (Hardware).', NULL, 'Short desc for product 265', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 266', 'Service', 95.99, 39.60, 'Full description for dummy product 266 (Service).', NULL, 'Short desc for product 266', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 267', 'Add-on', 100.49, 42.17, 'Full description for dummy product 267 (Add-on).', NULL, 'Short desc for product 267', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 268', 'License', 104.99, 44.75, 'Full description for dummy product 268 (License).', NULL, 'Short desc for product 268', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 269', 'Support', 109.49, 47.32, 'Full description for dummy product 269 (Support).', NULL, 'Short desc for product 269', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 270', 'SaaS', 113.99, 39.90, 'Full description for dummy product 270 (SaaS).', NULL, 'Short desc for product 270', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 271', 'Hardware', 118.49, 42.47, 'Full description for dummy product 271 (Hardware).', NULL, 'Short desc for product 271', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 272', 'Service', 122.99, 45.05, 'Full description for dummy product 272 (Service).', NULL, 'Short desc for product 272', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 273', 'Add-on', 102.99, 39.05, 'Full description for dummy product 273 (Add-on).', NULL, 'Short desc for product 273', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 274', 'License', 107.49, 41.62, 'Full description for dummy product 274 (License).', NULL, 'Short desc for product 274', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 275', 'Support', 111.99, 44.20, 'Full description for dummy product 275 (Support).', NULL, 'Short desc for product 275', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 276', 'SaaS', 116.49, 46.77, 'Full description for dummy product 276 (SaaS).', NULL, 'Short desc for product 276', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 277', 'Hardware', 120.99, 49.35, 'Full description for dummy product 277 (Hardware).', NULL, 'Short desc for product 277', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 278', 'Service', 125.49, 51.92, 'Full description for dummy product 278 (Service).', NULL, 'Short desc for product 278', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 279', 'Add-on', 129.99, 54.50, 'Full description for dummy product 279 (Add-on).', NULL, 'Short desc for product 279', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 280', 'License', 109.99, 38.50, 'Full description for dummy product 280 (License).', NULL, 'Short desc for product 280', NULL, 0, 'ACTIVE', NULL),
  ('Analytics Pack 281', 'Support', 114.49, 41.07, 'Full description for dummy product 281 (Support).', NULL, 'Short desc for product 281', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 282', 'SaaS', 118.99, 43.65, 'Full description for dummy product 282 (SaaS).', NULL, 'Short desc for product 282', NULL, 1, 'ACTIVE', NULL),
  ('Storage Tier 283', 'Hardware', 123.49, 46.22, 'Full description for dummy product 283 (Hardware).', NULL, 'Short desc for product 283', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 284', 'Service', 127.99, 48.80, 'Full description for dummy product 284 (Service).', NULL, 'Short desc for product 284', NULL, 0, 'ACTIVE', NULL),
  ('Dashboard Pro 285', 'Add-on', 132.49, 51.37, 'Full description for dummy product 285 (Add-on).', NULL, 'Short desc for product 285', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 286', 'License', 136.99, 53.95, 'Full description for dummy product 286 (License).', NULL, 'Short desc for product 286', NULL, 1, 'ACTIVE', NULL),
  ('Security Layer 287', 'Support', 116.99, 47.95, 'Full description for dummy product 287 (Support).', NULL, 'Short desc for product 287', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 288', 'SaaS', 121.49, 50.52, 'Full description for dummy product 288 (SaaS).', NULL, 'Short desc for product 288', NULL, 0, 'ACTIVE', NULL),
  ('Reporting Tool 289', 'Hardware', 125.99, 53.10, 'Full description for dummy product 289 (Hardware).', NULL, 'Short desc for product 289', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 290', 'Service', 130.49, 45.67, 'Full description for dummy product 290 (Service).', NULL, 'Short desc for product 290', NULL, 1, 'ACTIVE', NULL),
  ('Analytics Pack 291', 'Add-on', 134.99, 48.25, 'Full description for dummy product 291 (Add-on).', NULL, 'Short desc for product 291', NULL, 1, 'ACTIVE', NULL),
  ('API Gateway 292', 'License', 139.49, 50.82, 'Full description for dummy product 292 (License).', NULL, 'Short desc for product 292', NULL, 0, 'ACTIVE', NULL),
  ('Storage Tier 293', 'Support', 143.99, 53.40, 'Full description for dummy product 293 (Support).', NULL, 'Short desc for product 293', NULL, 1, 'ACTIVE', NULL),
  ('Mobile App 294', 'SaaS', 123.99, 47.40, 'Full description for dummy product 294 (SaaS).', NULL, 'Short desc for product 294', NULL, 1, 'ACTIVE', NULL),
  ('Dashboard Pro 295', 'Hardware', 128.49, 49.97, 'Full description for dummy product 295 (Hardware).', NULL, 'Short desc for product 295', NULL, 1, 'ACTIVE', NULL),
  ('Backup Plus 296', 'Service', 132.99, 52.55, 'Full description for dummy product 296 (Service).', NULL, 'Short desc for product 296', NULL, 0, 'ACTIVE', NULL),
  ('Security Layer 297', 'Add-on', 137.49, 55.12, 'Full description for dummy product 297 (Add-on).', NULL, 'Short desc for product 297', NULL, 1, 'ACTIVE', NULL),
  ('Integration Hub 298', 'License', 141.99, 57.70, 'Full description for dummy product 298 (License).', NULL, 'Short desc for product 298', NULL, 1, 'ACTIVE', NULL),
  ('Reporting Tool 299', 'Support', 146.49, 60.27, 'Full description for dummy product 299 (Support).', NULL, 'Short desc for product 299', NULL, 1, 'ACTIVE', NULL),
  ('Cloud Suite 300', 'SaaS', 150.99, 52.85, 'Full description for dummy product 300 (SaaS).', NULL, 'Short desc for product 300', NULL, 0, 'ACTIVE', NULL);
SET FOREIGN_KEY_CHECKS=1;

-- End dummy_products_300.txt
